Bo_Age,Ln_Orig,Orig_LTV_Ratio_Pct,Credit_score,First_home,Tot_mthly_debt_exp,Tot_mthly_incm,pur_prc_amt,DTI Ratio,OUTCOME,Median_state_inc
37,75650,85,669,N,1707,6000,160000,0.2845,non-default,"40,171"
46,390775,102,684,N,0,5025,309000,0,non-default,"44,228"
30,112500,90,662,Y,1812,4800,176450,0.3775,non-default,"49,894"
24,85250,97,647,N,3395,6934,110000,0.489616,non-default,"43,217"
35,114000,100,791,N,3801,5504,103000,0.690589,non-default,"57,352"
38,207200,80,607,N,4288,12100,230000,0.35438,non-default,"40,171"
26,193000,100,636,N,948,2463,72747,0.384896,non-default,"43,988"
39,220500,90,684,Y,832,1144,87650,0.727273,non-default,"40,171"
41,79800,95,710,N,1705,4474,219000,0.381091,non-default,"49,894"
22,109100,97,631,N,1907,7000,118801,0.272429,non-default,"44,476"
32,179000,100,686,Y,3464,5025,300500,0.689397,non-default,"44,228"
21,116850,95,660,N,3806,5700,172420,0.667719,non-default,"41,275"
31,257000,99,718,Y,650,1820,79000,0.357143,non-default,"44,286"
34,223200,90,649,N,1174,3069,98000,0.382535,non-default,"41,275"
37,184000,80,722,Y,3838,9823,300775,0.390716,non-default,"49,894"
37,260000,100,596,Y,1399,3936,69500,0.355437,non-default,"40,171"
63,260775,95,695,N,721,2215,115103,0.325508,non-default,"43,217"
37,209800,95,736,N,1286,2085,98000,0.616787,non-default,"48,688"
41,139900,100,673,Y,1582,4333,113500,0.365105,non-default,"40,171"
35,319623,102,568,Y,547,1580,56350,0.346203,non-default,"44,623"
37,90630,97,530,Y,1959,3207,118000,0.610851,non-default,"40,171"
30,256500,95,652,Y,0,5025,161000,0,non-default,"56,772"
29,99500,100,650,N,1264,5000,84000,0.2528,non-default,"43,042"
23,204900,100,555,N,2428,6517,144900,0.372564,non-default,"57,352"
24,66930,97,623,N,2199,7280,192990,0.30206,non-default,"40,171"
39,68400,90,677,N,2190,7092,194000,0.308799,non-default,"43,003"
25,141450,95,616,N,1198,4816,159500,0.248754,non-default,"43,217"
30,148700,98,648,N,1099,5025,160000,0.21872,non-default,"44,476"
27,107590,102,764,N,2427,5637,280348,0.430548,non-default,"40,171"
78,141744,60,594,Y,1287,2279,114900,0.564721,non-default,"43,217"
32,82350,90,721,Y,1289,5638,125785,0.228627,non-default,"41,275"
40,281400,90,692,N,1893,3062,150000,0.618223,non-default,"42,519"
59,167200,95,713,N,1327,3032,108000,0.437665,non-default,"47,220"
33,201000,99,714,N,741,3800,72500,0.195,non-default,"41,275"
27,171000,100,669,N,924,3201,134450,0.28866,non-default,"41,275"
24,200000,80,553,Y,461,1820,67500,0.253297,non-default,"40,171"
29,169600,80,742,N,3900,5025,255000,0.776168,non-default,"44,228"
37,106000,100,540,Y,2134,4924,108379,0.433387,non-default,"43,217"
59,74100,95,782,N,1927,7823,190000,0.246325,non-default,"44,160"
29,308750,95,729,N,977,1408,107500,0.693892,non-default,"40,171"
37,112000,93,667,Y,2746,5833,265000,0.47077,non-default,"40,171"
37,270000,75,769,N,3210,9589,363000,0.334759,non-default,"55,970"
30,164937,102,660,Y,557,2145,83760,0.259674,non-default,"39,000"
42,215650,95,684,N,717,1432,58000,0.500698,non-default,"43,217"
37,185250,95,628,N,1114,3269,115000,0.340777,non-default,"56,772"
37,205600,80,778,N,1072,3458,139050,0.310006,non-default,"44,286"
24,119000,100,682,N,2461,6766,113400,0.36373,non-default,"33,948"
37,174250,85,552,Y,2178,5416,171000,0.402142,non-default,"40,171"
56,202500,90,735,N,0,5025,88000,0,non-default,"42,590"
31,167720,100,502,Y,1099,2946,79205,0.373048,non-default,"41,275"
25,156000,100,631,N,0,6424,265990,0,non-default,"49,894"
42,266769,90,746,N,735,864,65000,0.850694,non-default,"40,171"
37,211500,90,631,N,1586,2839,162800,0.558647,non-default,"43,217"
30,193000,97,625,N,774,5025,122000,0.15404,non-default,"47,220"
29,185770,95,698,Y,870,2902,72700,0.299793,non-default,"45,787"
42,247500,90,656,N,2735,11604,423000,0.235695,non-default,"49,894"
61,124200,90,596,N,2379,10000,190000,0.2379,non-default,"43,217"
46,110000,100,563,Y,1296,2189,123000,0.592051,non-default,"40,171"
40,116600,100,771,N,1341,5820,210000,0.230412,non-default,"38,550"
29,129900,100,627,N,2258,3694,201900,0.611262,non-default,"43,217"
45,118316,80,734,Y,281,1622,45580,0.173243,non-default,"39,326"
39,162298,102,687,N,1249,2271,75000,0.549978,non-default,"40,171"
38,65000,87,677,Y,1462,4539,157000,0.322097,non-default,"48,688"
32,99392,95,652,Y,1470,2344,101000,0.627133,non-default,"41,275"
29,142000,95,578,N,2812,4383,253332,0.64157,non-default,"43,217"
37,158000,100,678,N,3559,6520,223000,0.545859,non-default,"45,787"
